Whole Plots,X1,X2,X3,X4,Y
1,-1,1,-1,1,
1,-1,1,1,1,
1,-1,1,0,0,
1,-1,1,1,-1,
1,-1,1,-1,-1,
2,0,0,0,-1,
2,0,0,-1,0,
2,0,0,0,1,
2,0,0,0,0,
2,0,0,0,0,
3,0,-1,1,1,
3,0,-1,0,-1,
3,0,-1,0,0,
3,0,-1,-1,0,
3,0,-1,0,0,
4,1,-1,-1,-1,
4,1,-1,"0,04",0,
4,1,-1,1,-1,
4,1,-1,-1,1,
4,1,-1,1,1,
5,-1,-1,1,-1,
5,-1,-1,-1,-1,
5,-1,-1,0,1,
5,-1,-1,1,0,
5,-1,-1,-1,1,
6,-1,0,-1,0,
6,-1,0,1,1,
6,-1,0,0,0,
6,-1,0,0,0,
6,-1,0,0,-1,
7,1,1,0,1,
7,1,1,1,1,
7,1,1,1,-1,
7,1,1,-1,-1,
7,1,1,-1,0,
8,"0,08","0,17",0,0,
8,"0,08","0,17",1,0,
8,"0,08","0,17",1,0,
8,"0,08","0,17",0,-1,
8,"0,08","0,17",-1,1,
