X1,X2,X3,X4,Y
"-0,213598056","-0,75273512","-0,959217795","-0,983666397",
"-0,69088898","-0,934813136","-0,326947663","0,1600176732",
"0,8034952817","-0,905950354","0,1806460346","-0,786080027",
"0,9324157781","-0,573505892","-0,712742343","-0,529312013",
"0,527427136","-0,965230143","-0,879310077","0,6569095962",
"0,2305555286","-0,176421429","-0,989713383","-0,236456406",
"-0,051719641","-0,983873788","0,7363438705","-0,278188368",
"0,0275249175","-0,316615719","0,4067774563","-0,869869014",
"-0,950438082","-0,786250253","0,4516802257","-0,434376732",
"0,682030553","-0,769093468","0,8353448086","0,4949996775",
"0,380529147","-0,663146327","-0,138050683","-0,060225972",
"-0,904593869","-0,096334853","0,1346051874","0,400497107",
"-0,234235851","-0,375508493","-0,291368405","0,9782069143",
"-0,601711301","-0,610178098","0,9879538494","0,7957585424",
"-0,946338574","0,8562913273","-0,944095759","0,0655432245",
"-0,438066869","0,5346879135","-0,853636908","0,898677183",
"-0,658456724","0,0653743901","-0,789167186","-0,899194627",
"-0,367367265","0,8188349906","-0,151277963","-0,937252221",
"0,8517356226","0,1985742312","-0,497135995","-0,148037943",
"-0,157087899","0,3636878176","-0,656076873","0,4604163969",
"0,9560160499","0,9842825107","-0,258562707","0,3398685599",
"0,1610379469","0,1628846226","-0,030323396","0,7099072224",
"0,291802928","0,5014696587","-0,374380221","-0,699689325",
"0,92437054","0,3379404163","0,9253279357","-0,973799028",
"-0,734701888","0,8853694285","0,8061208866","0,9539472044",
"-0,196357343","0,0230321053","0,9429490885","-0,011344545",
"-0,634090877","0,6687148507","0,2131670463","-0,303497314",
"-0,520317908","0,2304429025","0,6629725776","-0,559395048",
"0,8691321293","0,7487355237","0,3423686048","0,7624760802",
"0,5164866921","0,4511222384","0,5724122306","0,1453611949",
